q,rvnm,stcd,stnm,tm,wptn,z
23300,长江干流,60107300,宜昌,1780243200000,4,46.330
22400,长江干流,60107300,宜昌,1780246800000,4,46.120
22000,长江干流,60107300,宜昌,1780250400000,4,46.010
22100,长江干流,60107300,宜昌,1780254000000,4,45.980
21900,长江干流,60107300,宜昌,1780257600000,4,45.920
22000,长江干流,60107300,宜昌,1780261200000,4,45.910
22000,长江干流,60107300,宜昌,1780268400000,5,45.880
22600,长江干流,60107300,宜昌,1780272000000,5,46.000
19800,长江干流,60107300,宜昌,1780290000000,4,45.370
22600,长江干流,60107300,宜昌,1780308000000,5,45.870
23300,长江干流,60107300,宜昌,1780329600000,4,46.250
21800,长江干流,60107300,宜昌,1780344000000,4,45.850
21700,长江干流,60107300,宜昌,1780351200000,4,45.790
21600,长江干流,60107300,宜昌,1780354800000,4,45.740
20100,长江干流,60107300,宜昌,1780369200000,4,45.510
20100,长江干流,60107300,宜昌,1780387200000,5,45.210
24600,长江干流,60107300,宜昌,1780401600000,5,46.240
22900,长江干流,60107300,宜昌,1780416000000,4,46.130
21700,长江干流,60107300,宜昌,1780426800000,4,45.820
21800,长江干流,60107300,宜昌,1780437600000,5,45.770
22500,长江干流,60107300,宜昌,1780441200000,5,45.910
19000,长江干流,60107300,宜昌,1780459200000,4,45.170
19600,长江干流,60107300,宜昌,1780473600000,5,45.070
23300,长江干流,60107300,宜昌,1780502400000,4,46.220
18800,长江干流,60107300,宜昌,1780545600000,4,45.070
23400,长江干流,60107300,宜昌,1780585200000,4,46.130
18500,长江干流,60107300,宜昌,1780632000000,4,44.940
21500,长江干流,60107300,宜昌,1780671600000,4,45.660
17800,长江干流,60107300,宜昌,1780714800000,4,44.710
20600,长江干流,60107300,宜昌,1780750800000,4,45.260
16500,长江干流,60107300,宜昌,1780804800000,4,44.290
19200,长江干流,60107300,宜昌,1780837200000,5,44.940
16100,长江干流,60107300,宜昌,1780887600000,5,44.010
21700,长江干流,60107300,宜昌,1780930800000,45.480
16200,长江干流,60107300,宜昌,1780974000000,43.960
21100,长江干流,60107300,宜昌,1781017200000,4,45.320
