oq,rvnm,stcd,stnm,tm,wptn,z
20400,长江干流,60106980,三峡水库,1782878400000,5,148.890
27000,长江干流,60106980,三峡水库,1782914400000,5,148.540
24000,长江干流,60106980,三峡水库,1782961200000,5,148.630
27900,长江干流,60106980,三峡水库,1783000800000,5,148.160
20600,长江干流,60106980,三峡水库,1783047600000,5,148.320
27500,长江干流,60106980,三峡水库,1783087200000,5,147.500
20500,长江干流,60106980,三峡水库,1783134000000,5,147.920
30900,长江干流,60106980,三峡水库,1783170000000,4,147.370
20700,长江干流,60106980,三峡水库,1783220400000,5,147.650
31400,长江干流,60106980,三峡水库,1783256400000,4,146.740
16900,长江干流,60106980,三峡水库,1783306800000,5,147.260
21800,长江干流,60106980,三峡水库,1783350000000,5,146.470
13600,长江干流,60106980,三峡水库,1783393200000,5,147.050
20100,长江干流,60106980,三峡水库,1783432800000,5,146.460
13900,长江干流,60106980,三峡水库,1783479600000,6,146.990
15400,长江干流,60106980,三峡水库,1783519200000,5,146.920
13700,长江干流,60106980,三峡水库,1783566000000,5,147.160
14800,长江干流,60106980,三峡水库,1783609200000,5,147.100
13800,长江干流,60106980,三峡水库,1783652400000,5,147.310
15500,长江干流,60106980,三峡水库,1783692000000,5,147.180
12300,长江干流,60106980,三峡水库,1783738800000,5,147.440
19000,长江干流,60106980,三峡水库,1783774800000,6,147.000
12300,长江干流,60106980,三峡水库,1783825200000,5,147.360
19100,长江干流,60106980,三峡水库,1783861200000,4,146.840
12200,长江干流,60106980,三峡水库,1783911600000,6,147.020
16800,长江干流,60106980,三峡水库,1783951200000,5,146.640
12100,长江干流,60106980,三峡水库,1783994400000,5,147.120
18900,长江干流,60106980,三峡水库,1784034000000,6,146.990
12100,长江干流,60106980,三峡水库,1784080800000,5,147.700
19600,长江干流,60106980,三峡水库,1784120400000,4,147.490
11800,长江干流,60106980,三峡水库,1784167200000,5,148.280
22100,长江干流,60106980,三峡水库,1784206800000,4,147.740
10100,长江干流,60106980,三峡水库,1784253600000,5,148.790
21100,长江干流,60106980,三峡水库,1784293200000,4,148.300
10500,长江干流,60106980,三峡水库,1784340000000,5,149.570
20500,长江干流,60106980,三峡水库,1784379600000,4,149.260
10700,长江干流,60106980,三峡水库,1784430000000,5,150.570
20000,长江干流,60106980,三峡水库,1784466000000,6,150.490
10800,长江干流,60106980,三峡水库,1784516400000,5,151.930
17800,长江干流,60106980,三峡水库,1784556000000,5,151.830
11300,长江干流,60106980,三峡水库,1784602800000,5,152.680
20400,长江干流,60106980,三峡水库,1784638800000,4,152.290
11500,长江干流,60106980,三峡水库,1784689200000,5,153.010
20600,长江干流,60106980,三峡水库,1784725200000,4,152.520
