rvnm,stcd,stnm,tm,wptn,z
长江干流,60111200,莲花塘,1782878400000,5,30.000
长江干流,60111200,莲花塘,1782914400000,5,30.020
长江干流,60111200,莲花塘,1782961200000,6,30.040
长江干流,60111200,莲花塘,1783000800000,5,30.130
长江干流,60111200,莲花塘,1783047600000,4,30.200
长江干流,60111200,莲花塘,1783087200000,5,30.320
长江干流,60111200,莲花塘,1783134000000,4,30.410
长江干流,60111200,莲花塘,1783170000000,5,30.490
长江干流,60111200,莲花塘,1783220400000,5,30.600
长江干流,60111200,莲花塘,1783256400000,5,30.640
长江干流,60111200,莲花塘,1783306800000,4,30.670
长江干流,60111200,莲花塘,1783350000000,5,30.760
长江干流,60111200,莲花塘,1783393200000,5,30.870
长江干流,60111200,莲花塘,1783432800000,4,30.890
长江干流,60111200,莲花塘,1783479600000,5,30.930
长江干流,60111200,莲花塘,1783519200000,4,30.880
长江干流,60111200,莲花塘,1783566000000,6,30.820
长江干流,60111200,莲花塘,1783609200000,4,30.720
长江干流,60111200,莲花塘,1783652400000,4,30.600
长江干流,60111200,莲花塘,1783692000000,4,30.480
长江干流,60111200,莲花塘,1783738800000,4,30.350
长江干流,60111200,莲花塘,1783774800000,4,30.250
长江干流,60111200,莲花塘,1783825200000,6,30.120
长江干流,60111200,莲花塘,1783861200000,6,30.030
长江干流,60111200,莲花塘,1783911600000,6,29.870
长江干流,60111200,莲花塘,1783951200000,4,29.730
长江干流,60111200,莲花塘,1783994400000,4,29.570
长江干流,60111200,莲花塘,1784034000000,4,29.430
长江干流,60111200,莲花塘,1784080800000,4,29.270
长江干流,60111200,莲花塘,1784120400000,4,29.110
长江干流,60111200,莲花塘,1784170800000,4,28.910
长江干流,60111200,莲花塘,1784210400000,4,28.750
长江干流,60111200,莲花塘,1784257200000,4,28.570
长江干流,60111200,莲花塘,1784293200000,4,28.430
长江干流,60111200,莲花塘,1784340000000,4,28.260
长江干流,60111200,莲花塘,1784379600000,6,28.100
长江干流,60111200,莲花塘,1784430000000,6,27.960
长江干流,60111200,莲花塘,1784466000000,4,27.910
长江干流,60111200,莲花塘,1784516400000,6,27.870
长江干流,60111200,莲花塘,1784556000000,6,27.790
长江干流,60111200,莲花塘,1784602800000,6,27.760
长江干流,60111200,莲花塘,1784642400000,5,27.720
长江干流,60111200,莲花塘,1784689200000,6,27.630
长江干流,60111200,莲花塘,1784728800000,5,27.620
长江干流,60111200,莲花塘,1784775600000,5,27.600
长江干流,60111200,莲花塘,1784815200000,6,27.540
长江干流,60111200,莲花塘,1784862000000,4,27.480
长江干流,60111200,莲花塘,1784898000000,6,27.420
长江干流,60111200,莲花塘,1784948400000,6,27.310
长江干流,60111200,莲花塘,1784984400000,4,27.240
长江干流,60111200,莲花塘,1785034800000,6,27.170
长江干流,60111200,莲花塘,1785070800000,6,27.140
长江干流,60111200,莲花塘,1785121200000,6,27.070
长江干流,60111200,莲花塘,1785160800000,4,27.050
长江干流,60111200,莲花塘,1785204000000,4,27.060
长江干流,60111200,莲花塘,1785247200000,4,26.990
长江干流,60111200,莲花塘,1785294000000,6,26.920
长江干流,60111200,莲花塘,1785333600000,5,26.910
长江干流,60111200,莲花塘,1785376800000,5,26.920
长江干流,60111200,莲花塘,1785420000000,5,26.910
