oq,q,rvnm,stcd,stnm,tm,wptn,z
425,860,汉江,61802700,丹江口水库,1785553200000,6,161.270
1270,1920,汉江,61802700,丹江口水库,1785589200000,6,161.290
522,1630,汉江,61802700,丹江口水库,1785639600000,5,161.350
1400,2440,汉江,61802700,丹江口水库,1785675600000,4,161.410
454,1660,汉江,61802700,丹江口水库,1785726000000,5,161.490
1620,5120,汉江,61802700,丹江口水库,1785765600000,5,161.630
424,2820,汉江,61802700,丹江口水库,1785808800000,5,161.760
1070,4540,汉江,61802700,丹江口水库,1785852000000,5,161.950
434,6000,汉江,61802700,丹江口水库,1785895200000,5,162.220
1710,6050,汉江,61802700,丹江口水库,1785938400000,5,162.490
508,8500,汉江,61802700,丹江口水库,1785981600000,6,162.850
1710,6560,汉江,61802700,丹江口水库,1786024800000,5,163.140
523,6660,汉江,61802700,丹江口水库,1786068000000,5,163.380
1720,4950,汉江,61802700,丹江口水库,1786104000000,5,163.490
640,2800,汉江,61802700,丹江口水库,1786150800000,5,163.590
1700,2090,汉江,61802700,丹江口水库,1786190400000,5,163.630
822,2810,汉江,61802700,丹江口水库,1786237200000,6,163.700
1540,2030,汉江,61802700,丹江口水库,1786276800000,6,163.730
628,2250,汉江,61802700,丹江口水库,1786323600000,5,163.760
1700,1930,汉江,61802700,丹江口水库,1786366800000,4,163.760
1690,2540,汉江,61802700,丹江口水库,1786410000000,5,163.800
1650,3300,汉江,61802700,丹江口水库,1786449600000,5,163.860
693,4320,汉江,61802700,丹江口水库,1786500000000,5,164.020
688,4040,汉江,61802700,丹江口水库,1786539600000,5,164.170
718,2380,汉江,61802700,丹江口水库,1786586400000,5,164.270
1670,2260,汉江,61802700,丹江口水库,1786626000000,6,164.340
1680,2120,汉江,61802700,丹江口水库,1786672800000,6,164.380
1680,2120,汉江,61802700,丹江口水库,1786708800000,5,164.390
1690,2120,汉江,61802700,丹江口水库,1786755600000,5,164.410
1690,1280,汉江,61802700,丹江口水库,1786795200000,6,164.400
1700,1700,汉江,61802700,丹江口水库,1786842000000,5,164.420
1690,1280,汉江,61802700,丹江口水库,1786881600000,5,164.420
1680,1700,汉江,61802700,丹江口水库,1786928400000,4,164.430
1700,1290,汉江,61802700,丹江口水库,1786968000000,6,164.420
1690,1710,汉江,61802700,丹江口水库,1787014800000,6,164.430
1680,848,汉江,61802700,丹江口水库,1787054400000,6,164.420
1690,1270,汉江,61802700,丹江口水库,1787101200000,6,164.420
1680,1700,汉江,61802700,丹江口水库,1787140800000,4,164.420
1680,1700,汉江,61802700,丹江口水库,1787187600000,6,164.430
1690,1700,汉江,61802700,丹江口水库,1787227200000,6,164.430
1690,22,汉江,61802700,丹江口水库,1787274000000,4,164.410
1700,445,汉江,61802700,丹江口水库,1787313600000,6,164.390
1700,847,汉江,61802700,丹江口水库,1787360400000,4,164.340
1690,492,汉江,61802700,丹江口水库,1787400000000,4,164.310
1040,1180,汉江,61802700,丹江口水库,1787446800000,6,164.290
1680,447,汉江,61802700,丹江口水库,1787486400000,6,164.270
1690,870,汉江,61802700,丹江口水库,1787533200000,6,164.230
1680,1280,汉江,61802700,丹江口水库,1787572800000,6,164.200
1690,658,汉江,61802700,丹江口水库,1787619600000,5,164.150
1690,1280,汉江,61802700,丹江口水库,1787659200000,5,164.120
454,467,汉江,61802700,丹江口水库,1787706000000,6,164.090
1660,818,汉江,61802700,丹江口水库,1787745600000,6,164.070
1710,925,汉江,61802700,丹江口水库,1787817600000,4,164.040
980,1500,汉江,61802700,丹江口水库,1787864400000,5,164.050
1700,180,汉江,61802700,丹江口水库,1787911200000,6,164.010
638,2720,汉江,61802700,丹江口水库,1787950800000,4,164.020
1710,274,汉江,61802700,丹江口水库,1787983200000,4,164.000
1200,848,汉江,61802700,丹江口水库,1788019200000,5,163.980
544,308,汉江,61802700,丹江口水库,1788062400000,6,163.950
1230,1590,汉江,61802700,丹江口水库,1788105600000,6,163.930
475,177,汉江,61802700,丹江口水库,1788148800000,6,163.920
