rvnm,stcd,stnm,tm,wptn,z
汉江,61802500,龙王庙,1785553200000,6,161.270
汉江,61802500,龙王庙,1785589200000,6,161.290
汉江,61802500,龙王庙,1785639600000,5,161.350
汉江,61802500,龙王庙,1785675600000,4,161.410
汉江,61802500,龙王庙,1785726000000,5,161.490
汉江,61802500,龙王庙,1785765600000,5,161.630
汉江,61802500,龙王庙,1785808800000,5,161.760
汉江,61802500,龙王庙,1785852000000,5,161.950
汉江,61802500,龙王庙,1785895200000,5,162.220
汉江,61802500,龙王庙,1785938400000,5,162.490
汉江,61802500,龙王庙,1785981600000,6,162.850
汉江,61802500,龙王庙,1786024800000,5,163.140
