rvnm,stcd,stnm,tm,wptn,z
长江,60107000,茅坪(二),1785553200000,6,150.630
长江,60107000,茅坪(二),1785589200000,4,149.760
长江,60107000,茅坪(二),1785639600000,5,150.360
长江,60107000,茅坪(二),1785675600000,4,149.850
长江,60107000,茅坪(二),1785726000000,5,151.010
长江,60107000,茅坪(二),1785765600000,5,150.880
长江,60107000,茅坪(二),1785808800000,5,152.610
长江,60107000,茅坪(二),1785852000000,5,153.280
长江,60107000,茅坪(二),1785895200000,5,155.010
长江,60107000,茅坪(二),1785938400000,5,155.210
长江,60107000,茅坪(二),1785981600000,4,156.410
长江,60107000,茅坪(二),1786024800000,5,156.230
长江,60107000,茅坪(二),1786068000000,4,157.130
