q,rvnm,stcd,stnm,tm,wptn,z
27300,长江干流,60113400,九江,1785553200000,6,15.527
27500,长江干流,60113400,九江,1785589200000,4,15.459
27100,长江干流,60113400,九江,1785639600000,5,15.364
27200,长江干流,60113400,九江,1785675600000,4,15.291
27100,长江干流,60113400,九江,1785726000000,4,15.189
26900,长江干流,60113400,九江,1785765600000,4,15.129
27000,长江干流,60113400,九江,1785808800000,4,15.042
27100,长江干流,60113400,九江,1785852000000,4,14.979
26800,长江干流,60113400,九江,1785895200000,4,14.905
27100,长江干流,60113400,九江,1785938400000,4,14.850
27200,长江干流,60113400,九江,1785981600000,6,14.749
27400,长江干流,60113400,九江,1786024800000,4,14.701
26600,长江干流,60113400,九江,1786068000000,4,14.629
26900,长江干流,60113400,九江,1786107600000,4,14.574
27100,长江干流,60113400,九江,1786150800000,4,14.529
27500,长江干流,60113400,九江,1786190400000,5,14.511
28200,长江干流,60113400,九江,1786240800000,4,14.448
28100,长江干流,60113400,九江,1786276800000,4,14.377
28000,长江干流,60113400,九江,1786327200000,4,14.348
26600,长江干流,60113400,九江,1786366800000,5,14.451
27200,长江干流,60113400,九江,1786413600000,5,14.538
27500,长江干流,60113400,九江,1786453200000,4,14.557
27500,长江干流,60113400,九江,1786500000000,4,14.568
27200,长江干流,60113400,九江,1786539600000,4,14.548
26800,长江干流,60113400,九江,1786586400000,5,14.531
27800,长江干流,60113400,九江,1786626000000,4,14.555
27600,长江干流,60113400,九江,1786672800000,5,14.549
28200,长江干流,60113400,九江,1786712400000,5,14.604
27700,长江干流,60113400,九江,1786755600000,5,14.703
28500,长江干流,60113400,九江,1786795200000,5,14.774
28800,长江干流,60113400,九江,1786842000000,5,14.878
29600,长江干流,60113400,九江,1786881600000,5,14.939
29800,长江干流,60113400,九江,1786928400000,4,14.988
29500,长江干流,60113400,九江,1786968000000,5,15.004
29400,长江干流,60113400,九江,1787014800000,5,14.997
28600,长江干流,60113400,九江,1787054400000,4,14.970
27700,长江干流,60113400,九江,1787101200000,5,14.907
27200,长江干流,60113400,九江,1787140800000,4,14.840
26100,长江干流,60113400,九江,1787187600000,4,14.765
25900,长江干流,60113400,九江,1787227200000,4,14.670
25100,长江干流,60113400,九江,1787274000000,4,14.580
24900,长江干流,60113400,九江,1787313600000,4,14.510
24600,长江干流,60113400,九江,1787360400000,6,14.420
24600,长江干流,60113400,九江,1787400000000,6,14.340
24200,长江干流,60113400,九江,1787446800000,6,14.280
24100,长江干流,60113400,九江,1787486400000,4,14.240
24200,长江干流,60113400,九江,1787533200000,4,14.200
24700,长江干流,60113400,九江,1787572800000,4,14.160
24800,长江干流,60113400,九江,1787619600000,6,14.130
24800,长江干流,60113400,九江,1787659200000,6,14.130
24700,长江干流,60113400,九江,1787706000000,4,14.110
24900,长江干流,60113400,九江,1787745600000,6,14.130
24700,长江干流,60113400,九江,1787817600000,5,14.140
25100,长江干流,60113400,九江,1787864400000,6,14.140
25700,长江干流,60113400,九江,1787911200000,5,14.140
25900,长江干流,60113400,九江,1787950800000,5,14.160
25300,长江干流,60113400,九江,1787983200000,6,14.220
25400,长江干流,60113400,九江,1788019200000,6,14.250
25200,长江干流,60113400,九江,1788062400000,6,14.290
25500,长江干流,60113400,九江,1788105600000,4,14.330
25400,长江干流,60113400,九江,1788148800000,6,14.380
