q,rvnm,stcd,stnm,tm,wptn,z
681,乌江,60803000,武隆,1788199200000,4,170.040
510,乌江,60803000,武隆,1788235200000,5,169.450
770,乌江,60803000,武隆,1788278400000,4,170.330
475,乌江,60803000,武隆,1788318000000,4,169.320
572,乌江,60803000,武隆,1788364800000,4,169.670
581,乌江,60803000,武隆,1788404400000,4,169.700
575,乌江,60803000,武隆,1788451200000,4,169.680
518,乌江,60803000,武隆,1788490800000,5,169.480
804,乌江,60803000,武隆,1788534000000,4,170.440
515,乌江,60803000,武隆,1788577200000,5,169.470
642,乌江,60803000,武隆,1788616800000,4,169.910
418,乌江,60803000,武隆,1788663600000,4,169.060
480,乌江,60803000,武隆,1788706800000,5,169.340
469,乌江,60803000,武隆,1788750000000,4,169.300
1200,乌江,60803000,武隆,1788800400000,4,171.710
469,乌江,60803000,武隆,1788836400000,5,169.300
1500,乌江,60803000,武隆,1788883200000,4,172.660
419,乌江,60803000,武隆,1789009200000,4,169.070
555,乌江,60803000,武隆,1789095600000,4,169.610
566,乌江,60803000,武隆,1789182000000,4,169.650
823,乌江,60803000,武隆,1789358400000,4,170.500
1360,乌江,60803000,武隆,1789444800000,4,172.210
1430,乌江,60803000,武隆,1789531200000,4,172.440
2340,乌江,60803000,武隆,1789617600000,5,175.180
2220,乌江,60803000,武隆,1789700400000,4,174.840
1360,乌江,60803000,武隆,1789786800000,4,172.210
1200,乌江,60803000,武隆,1789963200000,5,171.710
1590,乌江,60803000,武隆,1790049600000,5,172.950
1740,乌江,60803000,武隆,1790136000000,5,173.400
