q,rvnm,stcd,stnm,tm,wptn,z
30600,长江干流,60115000,大通,1788199200000,5,9.520
31100,长江干流,60115000,大通,1788235200000,4,9.550
31300,长江干流,60115000,大通,1788278400000,4,9.590
31800,长江干流,60115000,大通,1788318000000,4,9.650
32500,长江干流,60115000,大通,1788364800000,4,9.660
32900,长江干流,60115000,大通,1788404400000,6,9.740
33600,长江干流,60115000,大通,1788451200000,6,9.790
33000,长江干流,60115000,大通,1788490800000,6,9.850
33700,长江干流,60115000,大通,1788534000000,4,9.850
34000,长江干流,60115000,大通,1788577200000,6,9.940
34600,长江干流,60115000,大通,1788616800000,6,9.980
35000,长江干流,60115000,大通,1788663600000,6,10.070
35600,长江干流,60115000,大通,1788706800000,5,10.110
36000,长江干流,60115000,大通,1788750000000,5,10.200
36700,长江干流,60115000,大通,1788800400000,6,10.260
36500,长江干流,60115000,大通,1788836400000,5,10.350
36400,长江干流,60115000,大通,1788883200000,5,10.370
35800,长江干流,60115000,大通,1789009200000,5,10.270
35600,长江干流,60115000,大通,1789095600000,4,10.160
34900,长江干流,60115000,大通,1789182000000,4,10.090
32800,长江干流,60115000,大通,1789358400000,4,9.740
31700,长江干流,60115000,大通,1789444800000,4,9.530
30600,长江干流,60115000,大通,1789531200000,4,9.300
29300,长江干流,60115000,大通,1789617600000,4,9.040
27700,长江干流,60115000,大通,1789700400000,4,8.760
26900,长江干流,60115000,大通,1789786800000,4,8.430
24600,长江干流,60115000,大通,1789963200000,4,7.700
23000,长江干流,60115000,大通,1790049600000,4,7.380
21600,长江干流,60115000,大通,1790136000000,5,7.140
20700,长江干流,60115000,大通,1790222400000,5,7.020
20400,长江干流,60115000,大通,1790308800000,5,6.920
